Survived,Pclass,Sex,Age,Fare,Cabin,Embarked,Title,FamilySize
0,3,0,2.0,0.0,2.0,0,0,0.0
0,3,0,2.0,0.0,2.0,2,0,0.4
1,3,1,1.0,0.0,2.0,2,1,0.0
0,3,0,2.0,1.0,2.0,1,0,0.8
0,3,1,1.0,1.0,2.0,0,2,0.4
0,3,0,0.0,2.0,2.0,0,3,2.0
0,3,0,1.0,0.0,2.0,0,0,0.0
1,1,1,49.0,2.0,1.2,1,2,0.4
1,2,1,2.0,1.0,1.8,0,2,0.4
0,1,0,65.0,2.0,0.4,1,0,0.4
1,1,0,2.0,2.0,0.8,0,0,0.0
1,2,1,1.0,0.0,1.8,0,1,0.0
0,3,0,2.0,0.0,2.0,1,0,0.0
1,2,1,0.0,1.0,1.8,0,1,1.2
0,3,0,0.0,2.0,2.0,0,3,2.8
0,3,0,1.0,0.0,2.0,1,0,0.0
1,1,1,38.0,2.0,0.4,0,1,0.0
0,1,0,45.0,2.0,0.8,0,0,0.4
0,3,0,0.0,1.0,2.0,0,3,2.0
0,1,0,2.0,1.0,0.8,1,0,0.0
1,3,0,0.0,0.0,2.0,1,3,0.8
1,2,1,2.0,0.0,2.0,0,2,0.0
0,3,0,1.0,0.0,2.0,0,0,0.0
1,3,1,1.0,0.0,2.0,0,1,2.4
0,3,0,1.0,0.0,2.0,0,0,0.8
0,2,0,2.0,0.0,1.8,0,0,0.0
0,3,1,0.0,2.0,2.0,0,1,2.8
0,2,0,1.0,2.0,1.8,0,0,0.0
0,3,0,1.0,0.0,2.0,1,0,0.4
1,3,0,2.0,2.0,2.0,0,0,0.0
0,3,0,1.0,0.0,2.0,0,0,0.0
0,3,0,2.0,0.0,2.0,0,0,0.0
0,3,0,2.0,0.0,2.0,0,0,0.0
1,2,0,0.0,1.0,1.8,0,3,0.8
1,3,1,2.0,0.0,2.0,0,1,0.0
0,3,0,1.0,0.0,2.0,0,0,0.0
1,3,0,2.0,0.0,2.0,0,0,0.0
1,3,1,1.0,0.0,2.0,2,1,0.0
0,1,0,2.0,2.0,0.8,0,0,0.0
1,2,1,1.0,0.0,1.8,0,1,0.0
1,3,1,2.0,0.0,2.0,0,2,1.2
0,3,0,0.0,2.0,2.0,0,0,1.6
0,3,0,2.0,0.0,2.0,0,0,0.0
1,1,1,1.0,3.0,0.8,0,1,2.0
0,3,0,1.0,0.0,2.0,0,0,0.0
0,3,0,2.0,0.0,2.0,0,0,0.0
0,3,0,1.0,0.0,2.0,0,0,0.0
0,1,0,46.0,2.0,1.6,0,0,0.4
0,3,0,1.0,1.0,2.0,0,0,1.2
0,3,0,59.0,0.0,2.0,0,0,0.0
0,3,0,2.0,0.0,2.0,0,0,0.0
0,1,0,71.0,2.0,0.0,1,0,0.0
1,1,0,1.0,2.0,1.2,1,0,0.4
1,2,1,2.0,1.0,1.8,0,2,0.4
0,2,0,2.0,1.0,1.8,0,0,0.4
0,3,1,2.0,0.0,2.0,0,1,0.0
0,3,0,2.0,0.0,2.0,0,0,0.0
0,1,0,1.0,2.0,1.2,0,0,0.4
0,3,0,2.0,0.0,2.0,0,0,0.0
0,3,0,37.0,0.0,2.0,0,0,0.8
0,3,0,2.0,0.0,2.0,0,0,0.0
1,3,1,1.0,0.0,2.0,0,1,0.0
1,3,0,2.0,0.0,2.0,0,0,0.0
0,3,0,38.0,0.0,2.0,0,0,0.0
1,3,1,1.0,1.0,2.0,2,1,0.4
0,1,0,47.0,2.0,0.8,0,0,0.0
0,3,1,0.0,0.0,2.0,1,1,0.4
0,3,0,1.0,0.0,2.0,0,0,0.0
0,3,1,1.0,0.0,2.0,0,1,0.4
0,3,1,1.0,0.0,2.0,1,1,0.0
0,3,0,1.0,0.0,2.0,0,0,0.0
0,3,0,70.5,0.0,2.0,2,0,0.0
0,2,0,2.0,1.0,1.8,0,0,0.4
0,1,0,1.0,3.0,0.4,1,0,0.4
0,3,1,0.0,2.0,2.0,0,1,2.4
0,2,0,1.0,2.0,1.8,0,0,0.8
0,3,0,2.0,0.0,2.0,0,0,0.0
0,2,0,2.0,2.0,1.8,1,0,0.4
1,2,1,2.0,0.0,1.6,0,1,0.0
0,1,0,54.0,2.0,1.2,0,0,0.4
1,3,0,0.0,0.0,2.0,1,3,0.4
0,3,0,2.0,0.0,2.0,2,0,0.0
1,3,0,1.0,0.0,2.0,0,0,0.0
1,3,1,1.0,1.0,2.0,1,1,0.8
0,3,0,45.0,0.0,2.0,0,0,0.0
0,3,0,2.0,0.0,2.0,1,0,0.0
0,3,0,1.0,0.0,2.0,0,0,0.0
0,3,1,47.0,0.0,2.0,0,2,0.4
1,2,1,2.0,1.0,1.8,0,2,0.4
0,2,0,1.0,0.0,1.8,0,0,0.0
0,2,0,1.0,0.0,1.8,1,0,0.0
1,1,1,1.0,1.0,1.2,0,1,0.8
0,1,0,37.0,2.0,0.8,0,0,0.4
0,3,0,0.0,0.0,2.0,0,0,0.0
0,1,0,1.0,2.0,0.4,1,0,0.0
0,3,1,2.0,0.0,2.0,1,2,0.8
1,3,1,1.0,0.0,2.0,0,1,0.0
1,3,1,1.0,0.0,2.0,0,2,0.4
0,3,0,1.0,0.0,2.0,2,0,0.0
0,2,0,1.0,0.0,1.8,0,0,0.0
0,2,0,1.0,2.0,1.8,0,0,0.8
1,3,0,2.0,0.0,2.0,0,0,0.0
0,3,1,0.0,2.0,2.0,0,1,1.6
0,2,0,36.5,1.0,2.0,0,0,0.8
0,2,0,42.0,0.0,1.8,0,4,0.0
0,2,0,51.0,0.0,1.8,0,4,0.0
1,1,1,1.0,2.0,0.8,0,2,0.4
0,3,0,55.5,0.0,2.0,0,0,0.0
0,3,0,40.5,0.0,2.0,0,0,0.8
0,3,0,2.0,0.0,2.0,0,0,0.0
0,1,0,51.0,2.0,0.8,1,0,0.4
1,3,1,0.0,0.0,2.0,2,1,0.0
0,3,0,2.0,0.0,2.0,0,0,0.0
0,3,0,2.0,0.0,2.0,0,0,0.0
0,3,0,0.0,2.0,2.0,0,3,4.0
0,3,0,44.0,0.0,2.0,0,0,0.4
1,2,1,40.0,0.0,1.8,0,2,0.0
0,3,0,1.0,0.0,2.0,0,0,0.0
0,3,0,1.0,0.0,2.0,0,0,0.0
0,3,0,0.0,2.0,2.0,0,3,2.0
1,3,0,0.0,1.0,2.0,0,3,0.8
1,1,1,2.0,2.0,1.6,0,2,0.4
0,3,1,45.0,1.0,2.0,0,2,1.6
0,1,0,2.0,1.0,0.8,0,0,0.0
0,3,0,2.0,2.0,2.0,0,0,0.0
0,1,0,61.0,2.0,0.4,0,0,0.0
0,3,0,0.0,1.0,2.0,2,3,2.0
1,3,1,0.0,0.0,2.0,0,1,0.8
0,3,0,1.0,0.0,2.0,0,0,0.0
0,1,0,56.0,2.0,0.0,1,0,0.0
0,3,0,1.0,0.0,2.0,0,0,0.8
0,3,0,0.0,1.0,2.0,0,3,1.6
0,1,1,50.0,1.0,0.8,1,1,0.0
0,2,0,2.0,0.0,1.8,0,0,0.0
0,3,0,2.0,0.0,2.0,0,0,0.0
0,3,1,1.0,2.0,2.0,0,1,4.0
0,2,0,2.0,0.0,1.8,1,0,0.0
0,3,0,0.0,2.0,2.0,0,3,2.4
1,2,0,0.0,2.0,2.0,0,3,1.2
1,3,1,0.0,1.0,2.0,0,1,0.8
0,1,0,2.0,2.0,0.0,0,0,0.0
1,3,1,2.0,0.0,2.0,2,2,0.4
1,1,0,45.0,1.0,0.8,0,0,0.0
0,3,0,40.0,0.0,2.0,2,0,0.8
0,3,0,2.0,0.0,2.0,0,0,0.0
1,2,1,2.0,0.0,1.8,0,2,0.0
0,2,0,1.0,0.0,1.8,0,0,0.0
1,3,1,1.0,0.0,2.0,0,1,0.4
1,2,0,0.0,1.0,2.0,0,3,0.8
1,1,1,44.0,1.0,0.4,1,2,0.0
1,1,1,58.0,3.0,0.4,1,1,0.0
0,3,0,2.0,0.0,2.0,2,0,0.0
0,3,0,42.0,0.0,2.0,0,0,0.4
1,3,1,1.0,0.0,2.0,2,1,0.0
0,2,1,1.0,0.0,1.8,0,1,0.0
0,3,0,2.0,0.0,2.0,0,0,0.0
0,3,0,2.0,2.0,2.0,0,0,4.0
0,3,0,2.0,0.0,2.0,0,0,0.0
0,3,0,45.5,0.0,2.0,1,0,0.0
1,3,0,1.0,0.0,2.0,0,0,0.0
0,3,1,0.0,0.0,2.4,0,1,0.4
0,3,0,2.0,0.0,2.0,0,0,0.4
1,3,0,1.0,1.0,2.0,1,0,0.0
1,3,1,0.0,0.0,2.0,2,1,0.0
1,1,0,40.0,2.0,0.0,1,0,0.0
0,3,0,1.0,0.0,2.0,0,0,0.0
1,2,1,2.0,1.0,1.8,0,1,0.0
0,3,0,1.0,0.0,2.0,0,0,0.0
0,2,0,2.0,0.0,1.8,0,0,0.0
0,3,0,2.0,0.0,2.0,2,0,0.4
1,1,1,2.0,3.0,1.2,1,1,0.4
1,3,1,2.0,0.0,2.0,0,1,0.0
0,2,0,42.0,1.0,1.8,0,0,0.4
1,1,1,2.0,2.0,1.2,1,1,0.0
0,2,0,2.0,0.0,1.8,0,0,0.0
1,3,0,0.0,0.0,2.0,0,0,0.0
0,2,0,2.0,0.0,1.8,0,0,0.0
0,3,0,51.0,0.0,2.0,0,0,0.0
0,3,0,2.0,0.0,2.0,0,0,0.0
1,1,0,38.0,2.0,0.8,0,0,0.4
0,3,0,1.0,0.0,2.0,0,0,0.0
1,2,0,1.0,0.0,1.8,0,0,0.0
0,3,0,1.0,0.0,2.0,0,0,0.0
0,2,0,1.0,0.0,1.8,0,0,0.0
0,3,1,1.0,1.0,2.0,0,1,1.6
1,1,1,2.0,2.0,0.8,0,2,0.4
0,3,0,2.0,0.0,2.0,0,0,0.0
0,2,0,59.0,0.0,1.8,0,0,0.0
1,3,1,0.0,2.0,2.0,0,1,2.4
0,2,0,1.0,0.0,1.8,0,0,0.0
0,3,1,1.0,0.0,2.0,0,1,0.0
0,2,0,44.0,1.0,1.8,0,0,0.4
1,2,1,0.0,1.0,1.8,0,1,0.8
0,2,0,1.0,0.0,1.8,0,0,0.0
0,2,0,2.0,0.0,1.8,0,0,0.0
0,3,1,1.0,0.0,2.0,1,1,0.4
1,3,1,1.0,0.0,2.0,2,1,0.4
0,2,0,2.0,0.0,1.8,0,0,0.0
0,3,0,1.0,0.0,2.0,0,0,0.0
0,3,0,2.0,0.0,2.0,1,0,0.0
0,1,0,44.0,2.0,0.8,2,4,0.8
0,3,1,1.0,0.0,2.0,0,1,0.0
1,2,1,1.0,0.0,1.8,0,2,0.8
1,1,0,37.0,2.0,1.2,0,0,0.8
0,2,0,54.0,1.0,1.8,0,4,0.4
0,3,0,2.0,0.0,2.0,0,0,0.0
0,3,1,2.0,0.0,2.4,0,2,0.8
0,1,0,62.0,1.0,0.8,0,0,0.0
0,3,0,2.0,0.0,2.0,0,0,0.4
0,3,1,41.0,1.0,2.0,0,2,0.8
1,3,1,2.0,0.0,2.0,1,2,0.8
1,1,1,2.0,2.0,0.8,1,2,0.0
1,1,1,2.0,2.0,0.4,0,1,0.0
1,1,1,2.0,3.0,0.8,1,1,0.0
1,2,1,50.0,1.0,1.8,0,2,0.4
0,3,0,2.0,0.0,2.0,2,0,0.0
1,3,0,0.0,2.0,2.0,0,3,2.4
0,1,0,52.0,2.0,1.6,0,0,0.8
0,1,0,40.0,0.0,0.4,0,0,0.0
0,3,1,1.0,0.0,2.0,2,1,0.0
0,2,0,2.0,0.0,1.8,0,0,0.0
0,3,0,0.0,2.0,2.0,0,0,2.0
1,3,0,1.0,0.0,2.0,0,0,0.4
1,1,1,58.0,3.0,0.8,0,2,0.4
1,1,1,2.0,3.0,0.8,0,1,0.0
0,1,0,2.0,2.0,0.8,0,0,0.0
1,3,0,1.0,0.0,2.0,0,0,0.0
1,2,1,41.0,1.0,1.8,0,2,0.4
0,1,0,37.0,1.0,0.8,1,0,0.4
1,3,1,1.0,0.0,2.0,2,1,0.0
1,1,1,63.0,2.0,1.2,0,1,0.4
0,3,1,45.0,0.0,2.0,0,1,0.0
0,2,0,2.0,0.0,1.8,0,0,0.0
0,3,0,0.0,1.0,2.0,2,3,2.0
1,3,1,2.0,1.0,2.0,0,2,0.8
0,3,0,65.0,0.0,2.0,2,0,0.0
0,3,0,2.0,0.0,2.0,0,0,0.0
0,3,0,0.0,0.0,2.0,0,0,0.0
1,3,0,1.0,0.0,2.0,0,0,0.0
0,1,0,2.0,1.0,0.0,0,0,0.0
0,3,0,2.0,0.0,2.0,1,0,0.0
1,3,0,2.0,0.0,2.0,0,0,0.0
0,3,0,1.0,0.0,2.0,0,0,0.0
1,2,0,42.0,0.0,1.8,0,0,0.0
1,3,1,1.0,0.0,2.0,2,1,0.0
1,1,1,1.0,2.0,0.8,0,1,0.0
1,1,1,1.0,2.0,0.4,1,2,0.4
0,2,0,2.0,0.0,1.2,1,0,0.0
0,3,1,1.0,0.0,2.0,0,1,0.0
0,3,0,1.0,0.0,2.0,0,0,0.0
0,1,0,2.0,1.0,0.8,1,0,0.0
0,3,0,1.0,0.0,2.0,1,0,0.0
0,1,1,0.0,3.0,0.8,0,1,1.2
1,1,0,2.0,2.0,0.8,0,0,0.0
1,1,1,50.0,3.0,0.4,1,2,0.4
1,3,1,1.0,0.0,2.0,2,1,0.0
1,3,0,2.0,1.0,2.0,2,0,0.8
0,3,0,1.0,0.0,2.0,0,0,0.0
1,2,1,1.0,0.0,1.6,2,1,0.0
0,3,0,2.0,0.0,2.0,0,0,0.0
1,1,0,0.0,3.0,0.8,0,3,1.2
1,1,1,1.0,3.0,0.8,1,1,0.0
1,1,1,1.0,3.0,0.8,1,2,0.4
0,2,0,2.0,1.0,1.8,1,0,0.4
1,1,1,2.0,2.0,1.6,1,1,0.0
1,1,1,1.0,2.0,0.8,1,1,0.0
1,1,1,1.0,3.0,0.4,1,1,1.6
0,2,1,1.0,1.0,1.8,0,2,0.8
0,3,0,2.0,0.0,2.0,0,0,0.0
0,2,0,43.0,1.0,1.8,0,0,0.8
1,3,1,1.0,0.0,2.0,0,1,0.0
1,2,1,1.0,1.0,1.8,0,2,0.4
0,2,0,54.0,0.0,1.8,0,4,0.0
1,1,1,2.0,3.0,0.8,0,1,0.8
1,1,1,40.0,3.0,1.6,1,2,0.8
0,3,0,1.0,0.0,2.0,0,0,0.0
0,3,0,2.0,0.0,2.0,0,0,0.0
1,2,1,2.0,0.0,1.8,2,1,0.0
1,2,1,1.0,1.0,1.8,0,2,0.8
0,3,0,2.0,2.0,2.0,0,0,4.0
1,1,1,2.0,3.0,0.8,1,1,0.0
0,3,0,61.0,0.0,2.0,0,0,0.0
1,2,1,2.0,0.0,1.2,0,2,0.0
1,3,1,2.0,1.0,2.0,0,2,0.8
1,1,1,0.0,2.0,0.4,1,1,0.4
1,3,1,1.0,1.0,2.0,2,1,0.8
0,1,0,45.5,1.0,0.8,0,0,0.0
0,1,0,38.0,3.0,0.8,0,0,0.4
0,3,0,0.0,1.0,2.0,0,0,0.8
1,1,1,2.0,3.0,0.8,0,2,0.4
0,3,0,2.0,0.0,2.0,0,0,0.0
0,1,0,2.0,2.0,0.8,0,0,0.4
1,1,1,41.0,3.0,1.6,1,1,0.0
1,3,0,45.0,0.0,2.0,0,0,0.0
0,1,0,45.0,2.0,2.8,0,0,0.0
1,2,0,0.0,1.0,2.0,0,3,0.8
1,1,1,1.0,3.0,0.8,0,1,2.0
0,2,0,2.0,0.0,1.8,0,0,0.0
0,2,0,1.0,0.0,1.8,0,0,0.0
0,2,0,2.0,0.0,1.8,0,0,0.0
1,2,1,1.0,0.0,2.0,0,1,0.0
1,2,1,40.0,0.0,1.8,0,1,0.0
1,3,1,2.0,0.0,2.0,0,2,0.4
1,3,0,0.0,0.0,2.0,0,3,0.8
0,3,0,42.0,0.0,2.0,0,0,0.0
0,3,0,1.0,0.0,2.0,0,0,0.0
0,1,0,2.0,2.0,0.8,0,0,0.0
0,3,0,0.0,0.0,2.0,1,0,0.8
0,3,0,1.0,1.0,2.0,0,0,0.4
0,3,0,2.0,0.0,2.0,1,0,0.0
0,3,0,2.0,0.0,2.0,0,0,0.0
1,1,1,1.0,2.0,1.6,0,1,0.4
0,2,1,38.0,0.0,1.8,0,1,0.0
1,3,1,1.0,0.0,2.0,2,1,0.0
1,3,1,1.0,0.0,2.0,2,1,0.0
0,3,0,40.0,1.0,2.0,0,0,1.6
0,2,0,2.0,1.0,1.8,1,0,0.4
0,3,1,45.0,0.0,2.0,1,2,0.4
0,3,0,2.0,0.0,2.0,0,0,0.0
0,3,0,2.0,0.0,2.0,2,0,0.4
0,3,0,2.0,0.0,2.0,0,0,0.0
1,1,1,60.0,2.0,1.2,1,2,0.4
1,3,1,2.0,0.0,2.0,1,2,0.0
1,3,1,1.0,0.0,2.0,2,1,0.0
1,1,1,1.0,2.0,0.4,1,4,0.0
1,1,0,1.0,2.0,1.6,1,0,0.4
0,3,0,1.0,0.0,2.0,0,0,0.4
0,3,0,1.0,0.0,2.0,0,0,0.0
0,1,0,1.0,3.0,0.8,1,0,0.0
0,3,1,0.0,1.0,2.0,0,1,1.6
1,1,1,2.0,2.0,0.8,1,2,0.4
1,3,1,1.0,0.0,2.0,0,1,0.0
0,1,0,2.0,3.0,0.8,1,0,0.8
0,3,0,1.0,0.0,2.0,1,0,0.0
0,3,0,1.0,0.0,2.0,0,0,0.0
1,1,1,42.0,3.0,0.8,1,1,0.0
1,3,1,0.0,0.0,2.0,1,1,0.8
0,3,0,2.0,0.0,2.0,0,0,0.0
1,1,1,2.0,2.0,0.8,0,2,0.4
0,3,0,2.0,0.0,2.0,0,0,0.0
0,2,0,1.0,2.0,1.8,0,0,0.0
0,3,0,0.0,2.0,2.0,0,3,2.8
1,2,1,2.0,0.0,1.8,0,1,0.0
0,3,0,2.0,0.0,2.0,2,0,0.0
1,2,1,1.0,0.0,1.8,1,1,0.0
1,1,0,2.0,3.0,0.4,0,0,1.2
1,3,0,1.0,0.0,2.0,0,0,0.0
0,3,0,2.0,0.0,2.0,0,0,0.8
1,1,1,1.0,3.0,1.2,1,1,0.4
1,3,1,1.0,0.0,2.4,0,2,0.8
0,3,0,1.0,0.0,2.0,0,0,0.0
0,3,1,2.0,0.0,2.0,0,1,0.0
0,2,0,46.0,1.0,1.8,0,0,0.0
0,2,0,1.0,0.0,1.8,0,4,0.0
1,2,1,2.0,0.0,1.8,0,2,0.0
1,3,0,39.0,0.0,2.0,0,0,0.0
0,3,0,1.0,0.0,2.0,0,0,0.0
0,3,1,1.0,0.0,2.0,0,1,0.4
0,3,0,2.0,0.0,2.0,0,0,0.4
0,3,1,1.0,0.0,2.0,0,1,0.0
0,2,0,2.0,1.0,1.8,0,0,0.4
0,3,0,51.0,0.0,2.0,0,0,0.0
1,2,0,0.0,1.0,1.8,0,3,0.8
0,3,0,1.0,0.0,2.0,0,0,0.0
0,3,1,1.0,1.0,2.0,0,1,1.6
0,3,0,2.0,0.0,2.0,0,0,0.0
0,3,0,2.0,0.0,2.0,2,0,0.0
1,1,1,2.0,2.0,0.8,2,1,0.4
0,2,0,2.0,0.0,1.8,0,0,0.0
1,3,0,44.0,0.0,2.0,0,0,0.0
0,3,1,2.0,0.0,2.0,0,2,0.0
1,2,1,2.0,2.0,1.8,0,2,0.8
1,2,1,1.0,0.0,1.8,0,1,0.8
0,2,0,2.0,0.0,1.8,0,0,0.0
0,3,1,0.0,1.0,2.0,0,1,0.8
0,3,0,2.0,0.0,2.0,1,0,0.0
0,3,0,1.0,0.0,2.0,2,0,0.0
0,3,0,2.0,0.0,2.0,0,0,0.0
0,3,1,2.0,0.0,2.0,0,2,0.8
0,3,0,1.0,1.0,2.0,0,0,0.8
0,3,0,2.0,0.0,2.0,0,0,0.0
1,2,1,2.0,1.0,1.8,0,2,0.4
1,2,1,1.0,1.0,1.8,0,1,0.0
0,3,0,2.0,0.0,2.0,2,0,0.0
1,3,0,2.0,0.0,1.6,0,0,0.0
1,1,0,2.0,1.0,0.8,0,0,0.0
1,3,1,2.0,0.0,2.0,0,2,0.4
1,2,1,42.0,1.0,1.8,0,2,0.4
0,3,0,1.0,0.0,2.0,0,0,0.0
0,1,0,50.0,2.0,1.6,0,0,0.4
1,1,1,0.0,3.0,0.4,0,1,1.2
0,3,1,1.0,2.0,2.0,0,1,1.6
1,2,1,1.0,1.0,1.8,0,2,2.0
0,1,0,64.0,3.0,0.8,0,0,1.6
0,2,0,2.0,0.0,1.8,0,0,0.0
1,2,1,45.0,1.0,1.8,0,2,0.8
0,3,0,1.0,0.0,2.0,0,0,0.0
0,3,0,1.0,0.0,2.0,0,0,0.4
1,2,1,2.0,0.0,1.8,0,4,0.0
1,3,0,2.0,0.0,2.0,0,0,0.0
1,1,0,0.0,2.0,0.0,0,3,0.8
1,2,1,0.0,1.0,1.8,0,1,0.4
1,1,0,2.0,1.0,0.8,0,0,0.0
1,3,1,0.0,1.0,2.0,1,1,1.2
1,1,0,52.0,2.0,0.8,0,4,0.0
0,2,0,2.0,1.0,1.8,0,0,1.2
0,3,0,2.0,1.0,2.0,0,0,0.4
0,1,0,2.0,1.0,0.8,1,0,0.0
1,1,0,49.0,2.0,0.8,1,0,0.4
0,3,0,2.0,0.0,2.0,0,0,0.0
1,3,0,2.0,0.0,2.0,1,0,0.0
0,1,0,65.0,1.0,1.6,0,0,0.0
1,1,1,2.0,2.0,1.2,0,2,0.4
1,2,1,50.0,0.0,1.8,0,1,0.0
0,3,0,2.0,0.0,2.0,2,0,0.0
1,1,0,48.0,1.0,1.6,0,0,0.0
0,3,0,2.0,0.0,2.0,0,0,0.0
0,1,0,47.0,2.0,1.6,0,0,0.0
0,2,0,48.0,0.0,1.8,0,0,0.0
0,3,0,2.0,0.0,2.0,0,0,0.0
0,3,0,38.0,0.0,2.0,0,0,0.0
0,2,0,2.0,0.0,1.8,0,0,0.0
0,1,0,56.0,1.0,0.8,0,0,0.0
0,3,0,2.0,0.0,2.0,2,0,0.0
1,3,1,0.0,1.0,2.0,1,1,1.2
0,3,0,2.0,0.0,2.0,0,0,0.0
0,3,0,38.0,0.0,2.0,0,0,0.0
1,2,1,2.0,1.0,1.8,0,2,1.2
1,2,1,1.0,0.0,1.2,1,2,0.0
0,3,1,1.0,0.0,2.0,0,1,0.0
0,1,0,2.0,2.0,0.0,0,0,0.0
0,2,0,2.0,1.0,1.8,0,0,0.4
0,3,0,2.0,0.0,2.0,0,0,0.4
0,3,0,1.0,0.0,2.0,0,0,0.0
1,3,1,0.0,0.0,2.0,0,1,0.4
0,3,0,0.0,2.0,2.0,0,3,2.8
0,2,0,2.0,0.0,1.8,0,0,0.0
0,3,0,50.0,0.0,2.0,0,0,0.0
1,3,1,63.0,0.0,2.0,0,2,0.0
1,1,0,1.0,2.0,0.4,1,0,0.4
0,3,1,1.0,1.0,2.0,0,1,1.6
1,1,1,2.0,2.0,0.8,0,2,0.4
0,1,0,58.0,1.0,0.4,1,0,0.0
0,3,0,2.0,0.0,2.0,0,0,0.0
1,3,0,0.0,0.0,2.0,0,3,0.8
0,3,0,2.0,1.0,2.0,0,0,0.4
0,3,0,1.0,0.0,2.0,0,0,0.0
0,1,0,55.0,2.0,0.8,0,0,0.0
0,1,0,71.0,2.0,0.8,1,0,0.0
0,3,0,1.0,0.0,2.0,0,0,0.0
0,3,0,2.0,0.0,2.0,1,0,0.0
1,1,1,54.0,2.0,1.2,1,1,0.4
0,3,0,2.0,0.0,2.0,0,0,0.0
0,1,1,1.0,3.0,0.8,0,2,1.2
0,3,0,1.0,0.0,2.0,0,0,0.0
0,3,0,1.0,0.0,2.0,0,0,0.0
0,3,1,1.0,0.0,2.0,2,1,0.0
0,3,1,1.0,0.0,2.0,2,1,0.0
0,3,1,37.0,0.0,2.0,0,1,0.0
1,1,1,0.0,2.0,0.4,0,1,0.0
0,1,0,1.0,3.0,0.8,1,0,0.4
1,2,1,2.0,1.0,1.8,0,2,0.8
1,1,0,2.0,1.0,0.8,0,0,0.0
0,3,0,2.0,1.0,2.0,0,0,0.0
1,3,0,1.0,2.0,2.0,0,0,0.0
1,3,0,2.0,0.0,2.0,2,0,0.0
0,3,0,2.0,0.0,2.0,0,0,0.0
1,1,0,2.0,1.0,1.6,0,0,0.0
1,1,1,54.0,2.0,0.8,1,2,0.4
0,3,0,1.0,0.0,2.0,0,0,0.0
0,1,0,47.0,2.0,1.2,0,0,0.0
1,2,1,2.0,0.0,2.0,0,2,0.0
0,3,0,2.0,1.0,2.0,2,0,0.0
1,2,1,2.0,1.0,1.8,0,2,0.4
0,3,0,2.0,0.0,2.0,0,0,0.0
1,1,1,2.0,2.0,0.4,0,1,0.0
0,3,0,1.0,0.0,2.0,0,0,0.0
0,3,0,2.0,0.0,2.0,1,0,0.0
1,1,1,44.0,2.0,0.4,1,2,0.4
0,3,0,2.0,0.0,2.0,1,0,0.0
0,3,0,40.5,0.0,2.0,2,0,0.0
1,2,1,50.0,0.0,1.8,0,1,0.0
0,1,0,2.0,3.0,0.8,0,0,0.0
0,3,0,39.0,0.0,2.0,0,0,0.0
0,2,0,1.0,0.0,1.8,0,0,1.2
1,2,1,0.0,1.0,1.8,0,1,0.8
0,3,0,2.0,0.0,2.0,1,0,0.0
0,3,0,1.0,0.0,2.0,1,0,0.8
1,3,1,2.0,1.0,2.0,1,2,0.8
0,3,1,2.0,0.0,2.0,0,1,0.0
